<html><img src="Abchasien.png"></html>; Abchasien
<html><img src="Mali.png"></html>; Mali
<html><img src="Malta.png"></html>; Malta
<html><img src="Marokko.png"></html>; Marokko
<html><img src="Marshallinseln.png"></html>; Marshallinseln
<html><img src="Mauretanien.png"></html>; Mauretanien
<html><img src="Mauritius.png"></html>; Mauritius
<html><img src="Mexiko.png"></html>; Mexiko
<html><img src="Föderierte Staaten von Mikronesien.png"></html>; Föderierte Staaten von Mikronesien
<html><img src="Republik Moldau.png"></html>; Republik Moldau
<html><img src="Monaco.png"></html>; Monaco
<html><img src="Mongolei.png"></html>; Mongolei
<html><img src="Montenegro.png"></html>; Montenegro
<html><img src="Mosambik.png"></html>; Mosambik
<html><img src="Myanmar.png"></html>; Myanmar
<html><img src="Namibia.png"></html>; Namibia
<html><img src="Nauru.png"></html>; Nauru
<html><img src="Nepal.png"></html>; Nepal
<html><img src="Neuseeland.png"></html>; Neuseeland
<html><img src="Nicaragua.png"></html>; Nicaragua
<html><img src="Königreich der Niederlande.png"></html>; Königreich der Niederlande
<html><img src="Niger.png"></html>; Niger
<html><img src="Nigeria.png"></html>; Nigeria
<html><img src="Niue.png"></html>; Niue
<html><img src="Nordmazedonien.png"></html>; Nordmazedonien
<html><img src="Türkische Republik Nordzypern.png"></html>; Türkische Republik Nordzypern
<html><img src="Norwegen.png"></html>; Norwegen
<html><img src="Oman.png"></html>; Oman
<html><img src="Österreich.png"></html>; Österreich
<html><img src="Osttimor.png"></html>; Osttimor
<html><img src="Pakistan.png"></html>; Pakistan
<html><img src="Staat Palästina.png"></html>; Staat Palästina
<html><img src="Palau.png"></html>; Palau
<html><img src="Panama.png"></html>; Panama
<html><img src="Papua-Neuguinea.png"></html>; Papua-Neuguinea
<html><img src="Paraguay.png"></html>; Paraguay
<html><img src="Peru.png"></html>; Peru
<html><img src="Philippinen.png"></html>; Philippinen
<html><img src="Polen.png"></html>; Polen
<html><img src="Portugal.png"></html>; Portugal
<html><img src="Ruanda.png"></html>; Ruanda
<html><img src="Rumänien.png"></html>; Rumänien
<html><img src="Russland.png"></html>; Russland
<html><img src="Salomonen.png"></html>; Salomonen
<html><img src="Sambia.png"></html>; Sambia
<html><img src="Samoa.png"></html>; Samoa
<html><img src="San Marino.png"></html>; San Marino
<html><img src="São Tomé und Príncipe.png"></html>; São Tomé und Príncipe
<html><img src="Saudi-Arabien.png"></html>; Saudi-Arabien
<html><img src="Schweden.png"></html>; Schweden
<html><img src="Schweiz.png"></html>; Schweiz
<html><img src="Senegal.png"></html>; Senegal
<html><img src="Serbien.png"></html>; Serbien
<html><img src="Seychellen.png"></html>; Seychellen
<html><img src="Sierra Leone.png"></html>; Sierra Leone
<html><img src="Simbabwe.png"></html>; Simbabwe
<html><img src="Singapur.png"></html>; Singapur
<html><img src="Slowakei.png"></html>; Slowakei
<html><img src="Slowenien.png"></html>; Slowenien
<html><img src="Somalia.png"></html>; Somalia
<html><img src="Somaliland.png"></html>; Somaliland
<html><img src="Spanien.png"></html>; Spanien
<html><img src="Sri Lanka.png"></html>; Sri Lanka
<html><img src="St. Kitts und Nevis.png"></html>; St. Kitts und Nevis
<html><img src="St. Lucia.png"></html>; St. Lucia
<html><img src="St. Vincent und die Grenadinen.png"></html>; St. Vincent und die Grenadinen
<html><img src="Südafrika.png"></html>; Südafrika
<html><img src="Sudan.png"></html>; Sudan
<html><img src="Südossetien.png"></html>; Südossetien
<html><img src="Südsudan.png"></html>; Südsudan
<html><img src="Suriname.png"></html>; Suriname
<html><img src="Syrien.png"></html>; Syrien
<html><img src="Tadschikistan.png"></html>; Tadschikistan
<html><img src="Tansania.png"></html>; Tansania
<html><img src="Thailand.png"></html>; Thailand
<html><img src="Togo.png"></html>; Togo
<html><img src="Tonga.png"></html>; Tonga
<html><img src="Transnistrien.png"></html>; Transnistrien
<html><img src="Trinidad und Tobago.png"></html>; Trinidad und Tobago
<html><img src="Tschad.png"></html>; Tschad
<html><img src="Tschechien.png"></html>; Tschechien
<html><img src="Tunesien.png"></html>; Tunesien
<html><img src="Türkei.png"></html>; Türkei
<html><img src="Turkmenistan.png"></html>; Turkmenistan
<html><img src="Tuvalu.png"></html>; Tuvalu
<html><img src="Uganda.png"></html>; Uganda
<html><img src="Ukraine.png"></html>; Ukraine
<html><img src="Ungarn.png"></html>; Ungarn
<html><img src="Uruguay.png"></html>; Uruguay
<html><img src="Usbekistan.png"></html>; Usbekistan
<html><img src="Vanuatu.png"></html>; Vanuatu
<html><img src="Vatikanstadt.png"></html>; Vatikanstadt
<html><img src="Venezuela.png"></html>; Venezuela
<html><img src="Vereinigte Arabische Emirate.png"></html>; Vereinigte Arabische Emirate
<html><img src="Vereinigte Staaten.png"></html>; Vereinigte Staaten
<html><img src="Vereinigtes Königreich.png"></html>; Vereinigtes Königreich
<html><img src="Vietnam.png"></html>; Vietnam
<html><img src="Weißrussland.png"></html>; Weißrussland
<html><img src="Demokratische Arabische Republik Sahara.png"></html>; Demokratische Arabische Republik Sahara
<html><img src="Zentralafrikanische Republik.png"></html>; Zentralafrikanische Republik
<html><img src="Republik Zypern.png"></html>; Republik Zypern
